vowel,category,F1_mean,F2_mean,F3_mean,F1_std,F2_std,F3_std,F1_min,F2_min,F3_min,F1_max,F2_max,F3_max,F0_mean,F0_std,F0_min,F0_max,F0_range,duration,sample_rate,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,F2_F1_ratio,F3_F2_ratio,F3_F1_ratio,formant_dispersion
e,child_3yo,1037.262788889275,2627.3118368221217,4320.843508820648,226.74684181961496,146.22312204861944,195.81651323280389,817.6614354221186,2404.695969644098,3982.0246253275955,1771.1877307477798,3049.160236104249,4836.454398850355,272.17985838525385,160.6298953250813,170.2127659574468,600.0,429.7872340425532,0.280375,24000,-97.25404,207.30594,35.603424,16.867418,-13.502058,10.660111,-1.6336318,6.5321674,-14.719974,9.697071,-9.75543,5.7824116,-3.7687225,3.3592362,2.1587236,2.5050886,1.7991025,2.90243,-7.942477,4.96634,-4.306125,4.51634,4.5685754,5.044112,-2.9260228,2.4600174,3631.879065891396,1050.3278752681074,3053.7713083566373,856.1872341666095,7514.229910714285,2100.708473298697,2.532927879959434,1.6445872348548263,4.165620858189183,1641.7903599656865
o,adult_male,968.9637270551765,2515.4873387498387,3873.96322406787,48.69532545909471,185.02111033807054,256.17415703251794,901.9020814713855,2089.8225389622044,3337.371269733513,1089.2395545319373,2847.027394243105,4339.485585368286,112.3342777944809,28.513613207840027,99.5850622406639,205.12820512820514,105.54314288754124,0.163625,24000,6.03607,23.765804,85.20624,8.440112,-13.17476,4.2609696,-9.379774,3.3679996,-14.898025,4.7546587,-12.040127,7.448574,-2.232121,2.7084045,7.32969,4.464493,0.9201003,2.9168348,-2.953621,2.7008317,0.6979604,2.0531778,0.7646575,3.654757,1.9329071,2.8804626,2984.498687648851,185.73071007568208,3100.745561921869,61.88511046971481,6761.71875,334.03576907201307,2.5960593451674145,1.540044811353801,3.998047724491623,1452.4997485063468
o,adult_male,1236.4514427494082,2766.0609080158465,4131.200699101932,164.87643587218753,456.52371811911405,448.4676253409119,1062.9337277389297,1720.0599872740543,3271.248074222947,1586.2890490857774,3433.2315621660823,4844.528771714841,137.7188864227496,42.64446738233608,115.94202898550725,233.0097087378641,117.06767975235684,0.15679166666666666,24000,-11.756675,44.164856,62.80416,9.432215,-4.198554,10.755509,-2.2556405,8.625807,0.45345187,4.5754614,2.724862,4.9611344,1.3749993,1.217902,-1.905427,3.2570646,-8.148568,2.5898356,1.1418276,4.773194,0.61396164,3.04778,-2.9081182,1.1894529,-2.1103003,3.8982375,3726.760297852898,136.20759482681237,3466.4585872057687,131.65167232221285,8374.51171875,358.8089839282621,2.237096267901274,1.4935320791852442,3.341175040336139,1447.3746281762617
o,child_5yo,1130.2652731488183,2656.168264885189,4036.3951619665754,138.66171518150188,427.69975028244426,467.1975945736016,920.5809859222975,2000.3462354338585,2992.040021905306,1315.642038776366,3446.4626424871303,4737.419773860866,278.9218968732779,4.387380534290373,272.72727272727275,289.1566265060241,16.429353778751363,0.16908333333333334,24000,2.2187839,25.810213,31.249653,8.304598,-9.2318325,6.6421094,4.1588135,3.4829185,-5.981772,3.1597881,-0.825507,1.5846648,0.79507816,1.8106846,-3.873909,1.3317207,-2.433045,2.5946956,-0.34137726,4.621006,0.31914717,3.1480672,0.060681283,2.1169126,-3.5136018,1.5840218,4030.091143150421,150.20344903386552,3458.8548150136303,63.42438361618999,8518.06640625,219.7412104492513,2.3500397012865313,1.5196308213331682,3.571192761431605,1453.0649444088785
a,child_7yo,1093.1241523388455,2470.080973123082,3884.18709451521,269.59488537003404,124.8002780689207,148.2117605906579,302.03964699849735,2286.9288311578707,3608.1832009569703,1774.0849707650473,2901.70732220053,4392.669078254671,206.35100192715393,30.23532660037035,109.0909090909091,228.57142857142858,119.48051948051949,0.25516666666666665,24000,-12.642371,34.7687,20.635021,6.829386,-27.822165,4.3691387,7.4788017,3.7712653,-8.111815,2.2993453,-9.985194,3.920359,-7.7820396,4.8106217,0.79645056,3.0321705,-0.9046984,3.488404,-11.466174,2.1796288,-7.1569257,3.156842,-2.2342932,3.2855232,0.18512304,1.9584621,4294.262823408564,95.97016707984089,3194.557492320378,24.738414925956075,8305.6640625,127.66850724316949,2.2596527282268015,1.572493831894176,3.5532899773594915,1395.5314710881821
o,adult_male,1047.9487552254277,2613.164237687982,4112.30356414318,123.69381316384974,146.58835247643677,190.18445230231174,939.2481202508458,2130.7027921942426,3770.8275243749413,1375.3325157852269,2919.6790649989475,4609.175096993838,129.95550929888486,49.9965714807624,115.38461538461539,352.94117647058823,237.55656108597285,0.287125,24000,5.4399915,43.227943,66.28428,7.0546336,-18.995874,5.930671,-7.194129,4.32141,-18.071234,10.877207,-12.889364,9.207761,2.842975,4.9480305,4.4346433,7.8215895,-0.32324642,5.7887855,-5.1979737,4.4835,-0.024509022,2.8071823,6.8836493,4.9607177,3.0424478,3.194811,3309.8003645828853,232.76202365882972,3182.1239500820275,95.79427903999485,7284.040178571428,455.39099303016945,2.4935992572707963,1.57368737289225,3.9241456642205454,1532.177404458876
o,child_5yo,1325.5670326150328,2775.2207682561316,4441.673087266762,200.38082846744112,511.2635489165601,488.264351199501,703.3018592195153,1747.3937113919003,3333.6952397455248,1777.8326034038228,3547.2482087781204,5383.2299797792575,258.29057175143623,62.68121723691574,233.0097087378641,600.0,366.9902912621359,0.32816666666666666,24000,-12.845455,65.24567,36.083878,15.071291,-9.378442,5.70781,0.26698428,4.445084,-0.5095816,2.236605,0.9342943,3.0437257,-2.1574585,3.2929287,-7.8645163,3.5719016,-8.341321,5.524285,-5.0271955,5.280407,-1.3001499,4.3873615,-1.4559114,3.4330308,-2.6227598,3.529879,3859.7198064587405,507.68641361723445,3470.52261592098,94.91667868428941,8511.474609375,605.7970203061906,2.0936102814666957,1.600475586689192,3.3507721435289346,1558.0530273258646
o,child_3yo,1479.9783547266068,2746.1780959789735,4089.4768877108545,104.8463313742881,322.71116590204844,364.4984852032325,1243.4284928438037,2078.0039027831867,3262.475712972091,1677.1145790243677,3300.9372971184903,4814.770015937535,390.6192165367423,191.28784034890032,203.38983050847457,600.0,396.6101694915254,0.34908333333333336,24000,-227.34953,282.17746,18.48155,16.925032,-16.575167,14.832129,-2.306629,3.696514,-1.381043,1.5686086,2.4460757,4.046971,-1.1279378,2.372056,-3.0206535,4.7625117,-2.6182513,3.1770353,0.52183104,1.4344239,-1.0774714,1.2811582,-1.6022226,2.0607708,-1.296361,1.8142824,3092.359102266564,2102.5708153975665,2327.4271990842794,1504.514435539404,6058.59375,3968.0081231108297,1.8555528783299464,1.489152103317252,2.7632004715814205,1304.7492664921238
o,child_5yo,1088.67608989494,2150.849963291173,4064.2998789655153,191.1145545381907,458.28675564374356,434.3527774096419,702.4418660133869,1554.7844889426522,3651.265139017034,1338.0423396989743,3323.0219647704416,5365.111885358403,259.1013523435981,13.730988443929789,247.42268041237114,300.0,52.577319587628864,0.16770833333333332,24000,-28.41511,47.829433,42.724937,12.759237,-16.093025,3.009146,-0.62054074,3.8678687,-4.346967,3.7985382,-0.17269546,4.082825,-2.0242352,2.2988646,-7.0635147,3.54541,-4.9641824,3.9247918,1.6547143,2.8449752,-2.1608343,3.750265,-0.15116966,2.6147869,1.9409041,2.8886936,3525.4670708393187,200.42699694278423,3326.1728399557123,71.74450932461511,7797.36328125,350.38560334246483,1.975656472347744,1.8896250079417127,3.733249877250202,1487.8118945352876
e,child_3yo,1314.7966892286604,2584.7796127138904,4008.481101238664,264.23895207057063,387.79814551072127,535.5771281121949,635.731802909973,1692.2743382668607,2717.8249239405845,1887.870832180922,3264.1540412535414,5111.0879409139325,227.7831435261674,71.44712754482102,190.47619047619048,600.0,409.5238095238095,0.318,24000,-4.399149,41.57656,48.664944,9.107744,-25.271175,3.805489,0.14206076,7.2334294,5.2767363,4.3424945,-3.5032938,3.6030078,-7.465978,3.5648305,-4.4102807,2.723519,-4.2618065,4.549618,2.9562612,4.9391713,3.0618157,3.2447236,-0.57720846,4.603522,-2.7364583,3.301335,3720.927931029633,304.72787977731144,3260.2314202955963,92.39662099220108,7920.3125,402.07135803626323,1.965915820970221,1.550801887140373,3.0487459651197346,1346.8422060050018
